DISTRICT,STATES,Months,2021-2022forecast,2021-2022plan,2021-2022Actual,actual -plan,actual-forecast
BUNDI,Rajasthan,Nov-21,1930.61,1700,1193,0.424979044,0.618281643
BUXAR,Bihar,Nov-21,1699.94,3440,1627,1.114320836,0.044830977
CHITTORGARH,Rajasthan,Nov-21,1680.82,1500,1469.5,0.020755359,0.143804015
CHURU,Rajasthan,Nov-21,4500.51,3800,3365.15,0.12922158,0.337387635
DARBHANGA,Bihar,Nov-21,2361,5680,2313.1,1.455579093,0.020708141
DAUSA,Rajasthan,Nov-21,2566.65,3300,1358.25,1.429596908,0.889674213
DHOLPUR,Rajasthan,Nov-21,3117.35,3200,2435,0.314168378,0.280225873
DUNGARPUR,Rajasthan,Nov-21,2102.98,1700,960.5,0.769911504,1.189463821
EAST CHAMPARAN,Bihar,Nov-21,10791.35,10715,5519,0.941474905,0.955308933
GAYA,Bihar,Nov-21,6587.1,8700,3502.65,1.483833669,0.880604685
GOPALGANJ,Bihar,Nov-21,3660.14,4885,4579.95,0.066605531,0.20083407
HANUMANGARH,Rajasthan,Nov-21,3783.79,3300,3180,0.037735849,0.189871069
JAIPUR,Rajasthan,Nov-21,20503.46,15200,13854.4,0.097124379,0.479924067
JAISALMER,Rajasthan,Nov-21,1066.49,1200,1011,0.18694362,0.054886251
JALORE,Rajasthan,Nov-21,1384.68,1500,998,0.503006012,0.38745491
JAMUI,Bihar,Nov-21,1446.92,1845,828,1.22826087,0.747487923
JEHANABAD,Bihar,Nov-21,907.57,1440,575,1.504347826,0.578382609
JHALAWAR,Rajasthan,Nov-21,1817.12,1800,1328,0.355421687,0.368313253
JHUNJHUNU,Rajasthan,Nov-21,7980.31,5400,6745.45,0.199460377,0.183065622
JODHPUR,Rajasthan,Nov-21,4762.23,2600,3821.85,0.319701192,0.246053613
KAIMUR,Bihar,Nov-21,2293.89,6115,1878,2.256123536,0.221453674
KAROLI,Rajasthan,Nov-21,2640.52,3200,2304,0.388888889,0.146059028
KATIHAR,Bihar,Nov-21,928.07,1130,1132.6,0.002295603,0.180584496
KHAGARIA,Bihar,Nov-21,963.28,1590,930,0.709677419,0.035784946
KISHANGANJ,Bihar,Nov-21,2370.61,2640,2470.35,0.068674479,0.040374846
KOTA,Rajasthan,Nov-21,3094.41,2400,2145,0.118881119,0.442615385
LAKHISARAI,Bihar,Nov-21,557.57,325,284,0.144366197,0.963274648
MADHEPURA,Bihar,Nov-21,813.7,2275,1116.25,1.038073908,0.271041433
MADHUBANI,Bihar,Nov-21,1653.26,2325,1020.5,1.278294953,0.620048996
MUNGER,Bihar,Nov-21,169.97,820,180,3.555555556,0.055722222
MUZAFFARPUR,Bihar,Nov-21,2088.55,6275,3062.9,1.048712005,0.318113553
NAGAUR,Rajasthan,Nov-21,1833.11,1700,1443,0.178101178,0.2703465
